+OT(min),Kdlmn(Km),PhaseCount,Mag,MagCount
0.082451398,0.009421265,0.192307692,0.891008174,0.384615385
0.001366042,0.009421265,0.397435897,0.692098093,0.666666667
0.001423559,0.009421265,0.474358974,0.599455041,0.820512821
0.001495456,0.009421265,0.474358974,0.599455041,0.820512821
0.001610491,0.009421265,0.474358974,0.599455041,0.820512821
0.001725526,0.009421265,0.474358974,0.602179837,0.820512821
0.001854941,0.009421265,0.474358974,0.602179837,0.820512821
0.001969976,0.009421265,0.474358974,0.602179837,0.820512821
0.002013114,0.009421265,0.474358974,0.604904632,0.820512821
0.002013114,0.009421265,0.525641026,0.610354223,0.871794872
0.002085011,0.009421265,0.525641026,0.610354223,0.871794872
0.002214425,0.009421265,0.525641026,0.615803815,0.871794872
0.00232946,0.009421265,0.525641026,0.610354223,0.871794872
0.002444496,0.009421265,0.525641026,0.613079019,0.871794872
0.00257391,0.009421265,0.525641026,0.615803815,0.871794872
0.063686299,0.009421265,0.525641026,0.615803815,0.871794872
0.00280398,0.009421265,0.525641026,0.615803815,0.871794872
0.002933395,0.009421265,0.525641026,0.615803815,0.871794872
0.002933395,0.009421265,0.525641026,0.615803815,0.871794872
0.003163465,0.009421265,0.525641026,0.615803815,0.871794872
0.003292879,0.009421265,0.525641026,0.61852861,0.871794872
0.003652364,0.009421265,0.525641026,0.61852861,0.871794872
0.004371333,0.009421265,0.525641026,0.61852861,0.871794872
0.005305993,0.009421265,0.512820513,0.59400545,0.820512821
0.005305993,0.009421265,0.512820513,0.615803815,0.820512821
0.26475325,0.009421265,0.512820513,0.59400545,0.820512821
0.264853905,0.009421265,0.923076923,0.580381471,0.871794872
0.001366042,0.257065949,0.205128205,0.741144414,0.384615385
0.001754285,0.257065949,0.205128205,0.735694823,0.384615385
0.001725526,0.231493943,0.256410256,0.74386921,0.487179487
0.001854941,0.231493943,0.256410256,0.727520436,0.487179487
0.001969976,0.231493943,0.256410256,0.711171662,0.487179487
0.002085011,0.231493943,0.256410256,0.708446866,0.487179487
0.002085011,0.212651413,0.346153846,0.727520436,0.615384615
0.002214425,0.212651413,0.346153846,0.719346049,0.615384615
0.002444496,0.212651413,0.346153846,0.722070845,0.615384615
0.002516392,0.212651413,0.346153846,0.722070845,0.615384615
0.002516392,0.208613728,0.474358974,0.722070845,0.615384615
0.00257391,0.208613728,0.474358974,0.722070845,0.615384615
0.00257391,0.208613728,0.474358974,0.722070845,0.615384615
0.00280398,0.208613728,0.474358974,0.72479564,0.615384615
0.002933395,0.208613728,0.474358974,0.722070845,0.615384615
0.00304843,0.208613728,0.474358974,0.722070845,0.615384615
0.003091568,0.208613728,0.474358974,0.72479564,0.615384615
0.003091568,0.197846568,0.58974359,0.730245232,0.794871795
0.003163465,0.197846568,0.58974359,0.735694823,0.794871795
0.003292879,0.197846568,0.58974359,0.735694823,0.794871795
0.003407914,0.197846568,0.58974359,0.735694823,0.794871795
0.003522949,0.197846568,0.58974359,0.735694823,0.794871795
0.003767399,0.197846568,0.58974359,0.738419619,0.794871795
0.003767399,0.216689098,0.653846154,0.72479564,0.871794872
0.003767399,0.216689098,0.653846154,0.72479564,0.871794872
0.003911193,0.216689098,0.653846154,0.722070845,0.871794872
0.004026228,0.216689098,0.653846154,0.722070845,0.871794872
0.004371333,0.216689098,0.653846154,0.719346049,0.871794872
0.004486368,0.200538358,0.730769231,0.730245232,1
0.004817094,0.203230148,1,0.730245232,0.974358974
0.004845853,0.203230148,1,0.730245232,0.974358974
0.005449787,0.203230148,1,0.727520436,0.974358974
0.553735764,0.203230148,1,0.746594005,0.974358974
0.560508455,0.226110363,0.115384615,0.711171662,0.076923077
0.560508455,0.226110363,0.115384615,0.711171662,0.076923077
0.560709766,0.226110363,0.115384615,0.711171662,0.076923077
0.008541355,0.009421265,0.115384615,0.258855586,0.051282051
0.008541355,0.009421265,0.115384615,0.25613079,0.076923077
0.549278155,0.009421265,0.141025641,0.280653951,0.051282051
0.549278155,0.009421265,0.141025641,0.258855586,0.076923077
0.549436328,0.009421265,0.141025641,0.343324251,0.051282051
0.005305993,0.009421265,0.243589744,0.343324251,0.128205128
0.002041873,0.028263795,0.243589744,0.411444142,0.076923077
0.002041873,0.028263795,0.243589744,0.414168937,0.076923077
0.000920281,0.009421265,0,0,0
0.00163925,0.009421265,0.012820513,0,0
0.002013114,0.082099596,0.076923077,0.095367847,0.025641026
0.002070632,0.082099596,0.076923077,0.10626703,0.025641026
0.00186932,0.082099596,0.08974359,0.111716621,0.051282051
0.001653629,0.082099596,0.08974359,0.128065395,0.051282051
0.393189923,0.049798116,0.115384615,0.128065395,0.051282051
0.393189923,0.049798116,0.115384615,0.14986376,0.051282051
0.393276199,0.049798116,0.115384615,0.128065395,0.051282051
0.393549408,0.049798116,0.115384615,0.128065395,0.051282051
0.393549408,0.049798116,0.115384615,0.128065395,0.051282051
0.097564132,0.01076716,0.076923077,0.08719346,0.102564103
